Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BLUETOOTH1,84.880000mm,82.500000mm,Top,90.0,84.880000mm,82.500000mm
C1,10.209999mm,44.000000mm,Top,0.0,10.209999mm,44.000000mm
CPU1,31.800010mm,86.400000mm,Top,-90.0,31.800010mm,86.400000mm
F2,8.500000mm,30.000000mm,Top,180.0,8.500000mm,30.000000mm
F11,40.970000mm,24.787500mm,Top,90.0,40.970000mm,24.787500mm
F12,44.000000mm,24.787500mm,Top,90.0,44.000000mm,24.787500mm
F13,47.500000mm,24.787500mm,Top,90.0,47.500000mm,24.787500mm
F14,50.500000mm,24.787500mm,Top,90.0,50.500000mm,24.787500mm
J1,82.200000mm,-3.800000mm,Top,0.0,82.200000mm,-3.800000mm
J2,11.560000mm,102.000000mm,Top,0.0,11.560000mm,102.000000mm
M1,5.624999mm,6.224999mm,Top,0.0,5.624999mm,6.224999mm
M4,86.275000mm,5.025000mm,Top,90.0,86.275000mm,5.025000mm
MAP1,10.320000mm,50.595000mm,Top,180.0,10.320000mm,50.595000mm
R1,32.295000mm,34.000000mm,Top,-90.0,32.295000mm,34.000000mm
R2,34.995000mm,34.000000mm,Top,-90.0,34.995000mm,34.000000mm
R3,40.795000mm,34.000000mm,Top,-90.0,40.795000mm,34.000000mm
R4,43.295000mm,34.000000mm,Top,-90.0,43.295000mm,34.000000mm
R5,68.000000mm,34.200000mm,Top,-90.0,68.000000mm,34.200000mm
R6,65.500000mm,34.200000mm,Top,-90.0,65.500000mm,34.200000mm
R7,18.700000mm,30.000000mm,Top,180.0,18.700000mm,30.000000mm
R8,14.700000mm,30.000000mm,Top,180.0,14.700000mm,30.000000mm
R9,17.049979mm,37.500000mm,Top,0.0,17.049979mm,37.500000mm
R11,41.000000mm,21.000000mm,Top,90.0,41.000000mm,21.000000mm
R12,44.000000mm,21.000000mm,Top,90.0,44.000000mm,21.000000mm
R13,47.500000mm,21.000000mm,Top,90.0,47.500000mm,21.000000mm
R14,50.500000mm,21.000000mm,Top,90.0,50.500000mm,21.000000mm
R21,60.000000mm,34.150000mm,Top,90.0,60.000000mm,34.150000mm
R22,57.500000mm,34.150000mm,Top,90.0,57.500000mm,34.150000mm
R23,52.000000mm,34.200000mm,Top,90.0,52.000000mm,34.200000mm
R24,49.000000mm,34.200000mm,Top,90.0,49.000000mm,34.200000mm
R31,24.500000mm,95.549999mm,Top,-90.0,24.500000mm,95.549999mm
R32,27.500000mm,95.549999mm,Top,-90.0,27.500000mm,95.549999mm
R33,30.500000mm,95.549999mm,Top,-90.0,30.500000mm,95.549999mm
R41,27.049979mm,81.500000mm,Top,0.0,27.049979mm,81.500000mm
R42,27.049979mm,84.500000mm,Top,0.0,27.049979mm,84.500000mm
R43,17.049979mm,33.500000mm,Top,0.0,17.049979mm,33.500000mm
U1,33.390000mm,42.850000mm,Top,0.0,33.390000mm,42.850000mm
U2,41.690000mm,42.975000mm,Top,0.0,41.690000mm,42.975000mm
U3,66.595000mm,42.975000mm,Top,0.0,66.595000mm,42.975000mm
U9,58.595000mm,42.975000mm,Top,0.0,58.595000mm,42.975000mm
U10,50.095000mm,42.975000mm,Top,0.0,50.095000mm,42.975000mm
USB1,85.500000mm,91.000000mm,Top,0.0,85.500000mm,91.000000mm
