Ref,Val,Package,PosX,PosY,Rot,Side
"BLUETOOTH1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",84.880000,82.500000,90.000000,top
"C1","100n","C0603",10.209999,44.000000,0.000000,top
"F2","12H1500D","PAD-1206-PAD",8.500000,30.000000,180.000000,top
"F11","50mA","Fuse_0603_1608Metric",40.970000,24.787500,90.000000,top
"F12","50mA","Fuse_0603_1608Metric",44.000000,24.787500,90.000000,top
"F13","50mA","Fuse_0603_1608Metric",47.500000,24.787500,90.000000,top
"F14","50mA","Fuse_0603_1608Metric",50.500000,24.787500,90.000000,top
"J1","Conn_01x24","24pin",82.200000,-3.800000,0.000000,top
"J2","Conn_01x20","TE_2-826576-0_1x20_P3.96mm_Vertical",11.560000,102.000000,0.000000,top
"M1","Module-power_12and5V-0.2","power_12and5V",5.624999,6.224999,0.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",86.275000,5.025000,90.000000,top
"MAP1","GZP6869D200KPP","MPXH6400A-SSOP8",10.320000,50.595000,180.000000,top
"R1","4.7k","R0603",32.295000,34.000000,-90.000000,top
"R2","4.7k","R0603",34.995000,34.000000,-90.000000,top
"R3","4.7k","R0603",40.795000,34.000000,-90.000000,top
"R4","4.7k","R0603",43.295000,34.000000,-90.000000,top
"R5","4.7k","R0603",68.000000,34.200000,-90.000000,top
"R6","4.7k","R0603",65.500000,34.200000,-90.000000,top
"R7","6.8k","R0603",18.700000,30.000000,180.000000,top
"R8","33k","R0603",14.700000,30.000000,180.000000,top
"R9","Jumper-Pad-Pad","PAD-0805-PAD",17.049979,37.500000,0.000000,top
"R11","0","R0603",41.000000,21.000000,90.000000,top
"R12","0","R0603",44.000000,21.000000,90.000000,top
"R13","0","R0603",47.500000,21.000000,90.000000,top
"R14","0","R0603",50.500000,21.000000,90.000000,top
"R21","4.7k","R0603",60.000000,34.150000,90.000000,top
"R22","4.7k","R0603",57.500000,34.150000,90.000000,top
"R23","4.7k","R0603",52.000000,34.200000,90.000000,top
"R24","4.7k","R0603",49.000000,34.200000,90.000000,top
"R31","10k","R0805",24.500000,95.549999,-90.000000,top
"R32","10k","R0805",27.500000,95.549999,-90.000000,top
"R33","10k","R0805",30.500000,95.549999,-90.000000,top
"R41","2.7K","R0805",27.049979,81.500000,0.000000,top
"R42","2.7K","R0805",27.049979,84.500000,0.000000,top
"R43","10K","R0805",17.049979,33.500000,0.000000,top
"U1","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",33.390000,42.850000,90.000000,top
"U2","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",41.690000,42.975000,90.000000,top
"U3","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",66.595000,42.975000,90.000000,top
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",58.595000,42.975000,90.000000,top
"U10","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",50.095000,42.975000,90.000000,top
"USB1","Conn_01x04_Pin","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",85.500000,91.000000,0.000000,top
"İŞLEMC1","Module:mega-mcu100/0.3","mega-mcu100",31.800010,86.400000,-90.000000,top
